License_No,Driver_NID,Issue_Date,Validity_Date,Type,Div_ID
6546216272,2856532578,04-Feb-2017,"ADD_MONTHS(04-Feb-2017, 120 )",Heavy,20
2274168911,1621008878,04-Mar-2009,"ADD_MONTHS(04-Mar-2009, 120 )",Motor Cycle,58
9210382633,3724593007,04-Feb-2015,"ADD_MONTHS(04-Feb-2015, 120 )",Light,12
3116459738,5734885800,25-Oct-1996,"ADD_MONTHS(25-Oct-1996, 120 )",Motor Cycle,52
5885322392,4250897915,25-Nov-2000,"ADD_MONTHS(25-Nov-2000, 120 )",Heavy,76
2409518591,9855226666,29-Oct-2013,"ADD_MONTHS(29-Oct-2013, 120 )",Heavy,25
5881621824,8091886772,22-Feb-1973,"ADD_MONTHS(22-Feb-1973, 120 )",Light,22
2993950045,4220390286,10-Feb-2006,"ADD_MONTHS(10-Feb-2006, 120 )",Light,18
0712169539,1428477926,28-Jul-2012,"ADD_MONTHS(28-Jul-2012, 120 )",Medium,8
2331968721,7214214814,20-Oct-2015,"ADD_MONTHS(20-Oct-2015, 120 )",Motor Cycle,24
1565085779,4725051683,25-Jan-1994,"ADD_MONTHS(25-Jan-1994, 120 )",Heavy,92
8518059682,7150888291,06-Oct-1979,"ADD_MONTHS(06-Oct-1979, 120 )",Light,65
2088303448,9677862529,02-Dec-2005,"ADD_MONTHS(02-Dec-2005, 120 )",Motor Cycle,21
3881882987,2984673913,08-May-1973,"ADD_MONTHS(08-May-1973, 120 )",Light,23
0155026518,2299604448,31-Oct-2006,"ADD_MONTHS(31-Oct-2006, 120 )",Motor Cycle,10
3667441673,1020713410,08-Feb-1988,"ADD_MONTHS(08-Feb-1988, 120 )",Motor Cycle,43
4221049685,7713204369,11-Jan-1973,"ADD_MONTHS(11-Jan-1973, 120 )",Medium,59
2036898637,0173102352,02-Feb-1988,"ADD_MONTHS(02-Feb-1988, 120 )",Motor Cycle,72
