Entry_No,Service_ID,License_No,Date,Payment_No,Cost
1001,42,0549969187,09-May-1986,1,523.24
1002,14,3136194195,12-Apr-1991,2,9335.97
1003,34,7803571786,24-Aug-1977,,7712.69
1004,9,2992029734,03-Jul-2007,4,6530.28
1005,24,3390395571,12-Oct-2011,5,1745.10
1006,11,4388144622,12-Mar-1991,6,7352.25
1007,47,4266345666,14-Oct-2000,,8089.71
1008,49,3063519065,06-Nov-1981,8,9433.80
1009,39,0526465573,29-Aug-2001,,4952.23
1010,34,3374619053,30-Apr-1985,10,7712.69
1011,29,4035414247,20-Aug-2010,11,8680.38
1012,30,2032835193,16-May-1996,12,4845.43
1013,6,4197466919,28-Sep-2008,13,6567.89
1014,24,9865225328,28-Oct-1986,,1745.10
1015,30,8554990781,12-Sep-2007,15,4845.43
1016,20,8687215967,08-Sep-2017,16,1817.76
1017,35,0480482713,22-May-1995,,2031.42
1018,21,9695996876,05-Oct-1996,,4356.49
1019,43,0981333974,14-Sep-1981,19,6059.31
1020,8,7763530243,27-Nov-1981,20,3075.66
1021,30,1271403579,01-Feb-1997,,4845.43
1022,42,4328599267,08-Jan-2003,22,523.24
1023,47,2793931144,08-Aug-2017,23,8089.71
1024,1,7140114072,13-Jun-2002,24,5308.45
1025,2,7265763823,16-Apr-1995,25,5251.63
1026,48,5940657311,08-May-2000,,4944.26
1027,15,4755964369,25-Apr-1996,27,3027.34
1028,27,2474184465,29-Dec-2000,,4596.04
1029,21,2495118305,05-Mar-1973,,4356.49
1030,39,9481655776,25-Oct-1995,30,4952.23
1031,39,1542917557,31-Jan-1991,31,4952.23
1032,2,3534342356,28-Mar-1978,32,5251.63
1033,3,0985379014,18-Jan-1991,33,4257.09
1034,10,2338154592,23-Oct-1970,,4262.54
1035,13,9243903845,15-May-2017,35,3456.70
1036,32,3686085445,11-Apr-1997,36,3646.60
1037,50,7324243649,10-Dec-2011,37,6722.08
1038,9,2135497126,03-Apr-2000,38,6530.28
1039,39,8997935151,27-Sep-2016,,4952.23
1040,29,7249174290,23-Dec-1993,40,8680.38
1041,41,0102895295,14-Sep-1972,41,6086.96
1042,39,4672217051,28-Dec-1976,,4952.23
1043,43,5937787277,05-Jun-1978,43,6059.31
1044,14,3782971353,28-Sep-1991,44,9335.97
1045,35,7255900240,12-Apr-1980,45,2031.42
1046,27,6443568281,11-Mar-2008,46,4596.04
1047,24,2778437150,11-Oct-1994,47,1745.10
1048,6,0276270258,08-Dec-1988,48,6567.89
