Owner_NID,Name,Address,eTIN,Mobile_No
3536052886,Phil Bucksey,32 Hollow Ridge Parkway,04-364-3692,+46 634 969 2227
4225952762,Bordy Limrick,3 Jenifer Alley,95-004-8027,+1 702 884 0550
3235102841,Krystalle Glantz,3 Hanson Drive,74-439-1086,+7 156 626 9501
3331371300,Cullen Lifsey,253 Express Court,89-354-2859,+62 308 153 0734
8624508517,Consuelo Box,86 Mandrake Hill,61-274-7613,+62 884 810 5705
8812488005,Sindee Whitland,266 Prairieview Street,66-079-5075,+381 438 682 1995
4955641172,Milly Cackett,4 Corscot Trail,10-915-2847,+420 252 220 1581
7457964606,Ingelbert Ruffle,0 Dennis Pass,69-958-8702,+380 669 531 8307
6716241760,Hyacinth Peniman,49 Macpherson Street,48-596-4747,+963 967 462 8657
8267614346,Raul Tabary,5701 Crowley Place,65-944-9596,+63 589 701 4007
6991297151,Simona Plaunch,356 Claremont Trail,26-512-9458,+86 923 690 9515
4999746913,Shirlene Orgee,95 Carey Street,73-678-0681,+86 175 769 0785
3168829145,Pinchas Forsyde,295 Kropf Hill,30-805-9053,+52 484 987 2037
6421784143,Egon Hufton,308 Elgar Street,30-489-8765,+48 329 241 5624
6225460578,Mitchell Fury,343 Hoffman Lane,48-353-0623,+55 728 810 0977
2101861259,Jaimie Lilley,33436 Briar Crest Trail,43-632-4550,+1 245 538 0978
1565134060,Niel Willerson,68009 Graceland Terrace,20-733-1883,+63 695 335 3265
9296162297,Paulo Hurrell,58284 Vahlen Junction,28-233-4403,+58 699 987 5352
6578536558,Julee Grovier,752 Mccormick Parkway,18-626-1117,+81 984 995 5014
9415849290,Auroora Armytage,591 Novick Place,91-966-8617,+62 530 561 6559
5482066703,Darcy Patsall,224 Melody Avenue,30-604-7927,+86 328 786 9112
1492273163,Delphinia Smallacombe,1 Michigan Hill,82-680-9027,+86 463 577 3720
2063185107,Yard McCraw,02 Hansons Pass,04-370-7309,+47 728 434 0393
4132150410,Valentino Renak,92 Judy Court,33-700-6621,+86 312 581 0444
6986320612,Isabelle Hessenthaler,198 Knutson Road,84-517-2627,+48 434 584 4150
1040820735,Clotilda Kose,4 Larry Trail,01-297-2228,+63 537 181 2102
3278545486,Sonia Novotna,065 Esch Lane,89-625-6799,+55 429 441 3103
1433404656,Calypso Kennon,3 Granby Way,82-323-6888,+33 749 310 5897
0760960364,Joyan April,227 Bowman Terrace,50-155-7355,+7 325 293 0820
5286913865,Lannie Antonoyev,898 Lerdahl Park,84-039-0707,+63 869 480 8224
8808182835,Duncan Merrington,346 Washington Lane,64-846-7872,+386 275 292 6255
7397593828,Kenyon Capell,3780 Helena Pass,96-167-8581,+51 872 674 6573
3788053755,Vin Di Maria,766 Waxwing Lane,47-782-2218,+86 752 259 2291
7426937674,Hunter Ladel,82826 Dexter Court,09-654-9508,+1 702 592 6069
3711256759,Berrie Arboine,969 Lien Terrace,80-555-0824,+86 914 476 4557
5932436476,Cindy Partleton,34 Stang Park,41-581-7696,+389 511 869 8844
8936940554,Thacher Cofax,5 Clemons Way,76-421-3261,+95 216 196 4922
4559150354,Oswell Hryniewicz,57 Maywood Parkway,87-196-8844,+48 223 909 5311
8084923501,Brion McMonnies,88413 Hazelcrest Junction,87-130-5499,+33 867 710 8051
8335978603,Tobin MacAiline,72 Thompson Avenue,68-581-2194,+62 704 804 6204
9640136611,Peyter Bratcher,7110 Scofield Road,90-775-4313,+86 307 412 8301
