Entry_No,Penalty_ID,V_Reg_No,License_No,Date,Payment_No,Cost
3002,15,10936,2456727975,13-May-74,202,5233.27
3004,34,10729,7763530243,08-Jun-83,204,2637.83
3007,15,10457,3459848286,19-Feb-17,207,5233.27
3008,6,10685,1123118817,20-Jun-13,208,6566.57
3010,8,10018,2020842785,14-Dec-87,210,4634.17
3012,1,10385,2992029734,06-Jan-80,212,6159.51
3014,35,10354,6351797748,30-May-78,214,4679.58
3016,38,10146,8593637663,15-Jul-01,216,2073.26
3018,14,10752,8393033632,06-Mar-89,218,3185.66
3019,27,10388,388486988,07-Dec-90,219,5611.13
3021,4,10904,3772077242,08-Sep-08,221,2354.35
3022,7,10766,5229475730,18-Jan-13,222,7769.21
3024,15,10537,6823297263,03-Jun-06,224,5233.27
3025,18,10983,9329008089,04-Sep-80,225,5994.39
3027,28,10636,3380082244,18-Apr-13,227,6419.12
3028,2,10685,9243903845,10-Apr-12,228,4911.39
3029,49,10266,6395491032,16-Jul-12,229,449.28
3030,44,10086,450400948,06-Mar-14,230,4504.79
3031,18,10463,4400955540,30-Jun-70,231,5994.39
3032,24,10904,8286573536,22-Dec-97,232,7784.15
3034,4,10633,2495118305,11-Dec-01,234,2354.35
3036,20,10617,3627919211,03-Jul-99,236,6829.73
3037,14,10013,408790628,30-Sep-00,237,3185.66
3039,9,10838,2599421721,25-Jul-06,239,3032.65
3041,46,10274,4364606138,18-Feb-00,241,8773.68
3042,50,10622,2329234988,07-Apr-10,242,9686.88
3043,19,10899,1315107112,15-Feb-00,243,4185.47
3044,42,10327,2882604467,06-Jun-07,244,173.02
3045,20,10908,2695601018,29-Oct-73,245,6829.73
3047,36,10036,1548165182,12-Dec-72,247,4218.35
3048,7,10441,4600082818,22-Sep-97,248,7769.21
3051,36,10576,3517035394,06-Dec-94,251,4218.35
3052,39,10745,561596220,10-Jul-01,252,9245.41
3053,22,10954,5272901045,07-Nov-71,253,6208.27
3054,31,10710,8041789153,10-Apr-91,254,9444.67
3055,7,10957,7285761931,11-Apr-70,255,7769.21
3056,20,10948,2178909469,05-Jan-97,256,6829.73
3058,4,10024,1670699366,02-Feb-80,258,2354.35
3060,48,10208,6563145612,28-Jul-17,260,9213.15
3061,5,10586,992641535,15-Jun-14,261,8896.62
3063,14,10950,2695601018,29-Apr-01,263,3185.66
3064,7,10084,3459848286,05-May-13,264,7769.21
3065,16,10532,1925552306,12-Mar-02,265,8176.53
3066,16,10027,289959268,02-Nov-84,266,8176.53
3067,17,10577,2135497126,21-Apr-13,267,9141.24
3069,25,10251,9827620606,03-Jun-13,269,5469.05
3070,41,10363,418307571,22-Jan-72,270,5137.38
3071,8,10180,7099243713,07-Dec-12,271,4634.17
3074,11,10374,9585060760,24-Mar-13,274,122.13
3075,17,10405,7099243713,14-Feb-84,275,9141.24
3077,13,10639,6754209291,30-Jan-05,277,4284.29
3079,17,10792,7483289031,12-Aug-09,279,9141.24
3084,39,10455,5232995103,25-Jan-80,284,9245.41
3085,8,10196,2474184465,28-Apr-73,285,4634.17
3086,6,10046,5226361173,25-Dec-76,286,6566.57
3087,2,10889,2223104673,16-Jan-96,287,4911.39
3090,18,10916,5132408567,07-Jun-89,290,5994.39
3091,19,10312,2001369786,13-Mar-94,291,4185.47
3092,2,10992,481182322,05-May-07,292,4911.39
3093,16,10928,3879216452,04-Sep-15,293,8176.53
3094,11,10841,2992029734,21-Mar-12,294,122.13
3096,44,10176,321301722,29-Jul-82,296,4504.79
3097,19,10301,4789342433,19-Mar-00,297,4185.47
3098,15,10552,3136194195,24-Dec-86,298,5233.27
3099,28,10666,4672217051,10-Feb-93,299,6419.12
3101,27,10610,7344157608,06-Nov-79,301,5611.13
3103,43,10407,2021093255,07-Jul-12,303,7520.88
3106,23,10469,7349470959,06-Jun-16,306,801.76
3107,16,10339,1557686300,01-Jun-83,307,8176.53
3108,42,10081,8022158860,05-Jun-14,308,173.02
3109,18,10476,8937569469,21-Nov-97,309,5994.39
3110,3,10965,7946072082,28-Dec-12,310,743.31
3111,6,10643,3889479553,29-Apr-80,311,6566.57
3112,25,10179,9974429579,01-Mar-83,312,5469.05
3113,12,10355,6277378880,21-Jul-82,313,1869.2
3114,15,10047,3047514577,14-Jun-06,314,5233.27
3115,21,10336,7345985180,22-May-71,315,6101.59
3118,44,10689,8766410177,15-Jul-04,318,4504.79
3122,35,10647,2788517130,16-Jun-92,322,4679.58
3123,29,10650,602327261,05-Apr-09,323,7470.92
3126,47,10570,7224536067,01-Feb-14,326,5801.47
3127,43,10956,4913277413,26-Mar-07,327,7520.88
3128,11,10651,8350905018,31-Mar-10,328,122.13
3129,20,10042,1712575503,10-Dec-72,329,6829.73
3130,46,10872,227267788,12-Feb-00,330,8773.68
3133,35,10433,4916373979,07-Jan-08,333,4679.58
3134,12,10411,1015935834,13-Sep-88,334,1869.2
3136,32,10967,9238052875,18-Jan-04,336,8562.03
3140,47,10237,3209700842,29-Jul-75,340,5801.47
3141,33,10482,4945459371,04-Apr-87,341,6503.72
3146,21,10385,9125508652,09-Dec-71,346,6101.59
3148,35,10683,1936053012,14-Aug-84,348,4679.58
3149,10,10867,6194247835,12-Oct-05,349,9304.55
3150,45,10998,6129133030,23-Sep-09,350,5191.18
3151,48,10367,8237486250,13-Jul-13,351,9213.15
3152,38,10827,9744041935,13-Jun-74,352,2073.26
3153,10,10222,1535281979,04-Apr-80,353,9304.55
3154,48,10408,9328233062,02-Sep-09,354,9213.15
3156,15,10112,6455910427,31-May-70,356,5233.27
3157,41,10623,8732190468,16-Sep-91,357,5137.38
3158,6,10765,5764000076,16-Aug-90,358,6566.57
3159,13,10913,1996654748,06-Oct-15,359,4284.29
3160,38,10497,4342814331,06-Mar-78,360,2073.26
3161,17,10059,9132023251,24-Sep-92,361,9141.24
3165,45,10072,6637601535,30-Jan-97,365,5191.18
3166,20,10815,8604090851,02-Sep-08,366,6829.73
3168,34,10281,5404855711,17-Mar-01,368,2637.83
3169,37,10995,2185408445,23-Apr-13,369,5383.26
3170,32,10857,6754209291,07-Nov-08,370,8562.03
3171,31,10467,4755964369,10-Feb-16,371,9444.67
3174,33,10626,5335632208,26-Jul-08,374,6503.72
3176,26,10469,4687695574,16-Jun-15,376,6848.85
3178,25,10699,5662669252,19-Nov-93,378,5469.05
3179,40,10938,8051441648,30-Oct-09,379,111.38
3181,15,10927,5191404920,22-Dec-01,381,5233.27
3182,34,10218,9574261948,12-Apr-01,382,2637.83
3183,33,10797,8237486250,05-Mar-93,383,6503.72
3184,2,10727,9865225328,13-Jun-05,384,4911.39
3186,25,10125,2153531004,16-Jun-12,386,5469.05
3191,31,10709,8937569469,06-May-95,391,9444.67
3193,5,10586,6113256405,22-Mar-90,393,8896.62
3195,35,10332,7483289031,29-May-14,395,4679.58
3197,41,10045,3545222136,11-Dec-75,397,5137.38
3198,25,10740,3876529662,18-May-05,398,5469.05
3199,34,10531,7763530243,03-Jan-04,399,2637.83
3200,16,10320,8583256071,28-Sep-70,400,8176.53
