Entry_No,Penalty_ID,V_Reg_No,License_No,Date,Payment_No,Cost
3001,19,10246,1766116825,16-Feb-2014,,4185.47
3002,15,10936,2456727975,13-May-1974,202,5233.27
3003,19,10615,0276270258,28-Dec-1989,,4185.47
3004,34,10729,7763530243,08-Jun-1983,204,2637.83
3005,50,10819,7224536067,29-Sep-1971,,9686.88
3006,48,10771,2730233563,26-Nov-1991,,9213.15
3007,15,10457,3459848286,19-Feb-2017,207,5233.27
3008,6,10685,1123118817,20-Jun-2013,208,6566.57
3009,9,10345,6558085178,10-Jun-1992,,3032.65
3010,8,10018,2020842785,14-Dec-1987,210,4634.17
3011,11,10291,9152702472,09-Nov-1974,,122.13
3012,1,10385,2992029734,06-Jan-1980,212,6159.51
3013,48,10719,0888679556,27-Aug-1998,,9213.15
3014,35,10354,6351797748,30-May-1978,214,4679.58
3015,24,10940,6502654622,30-Apr-1979,,7784.15
3016,38,10146,8593637663,15-Jul-2001,216,2073.26
3017,14,10816,0684069741,21-Jul-2011,,3185.66
3018,14,10752,8393033632,06-Mar-1989,218,3185.66
3019,27,10388,0388486988,07-Dec-1990,219,5611.13
3020,43,10095,5764000076,31-Oct-1973,,7520.88
3021,4,10904,3772077242,08-Sep-2008,221,2354.35
3022,7,10766,5229475730,18-Jan-2013,222,7769.21
3023,23,10441,6275351357,21-Mar-1978,,801.76
3024,15,10537,6823297263,03-Jun-2006,224,5233.27
3025,18,10983,9329008089,04-Sep-1980,225,5994.39
3026,6,10111,2185408445,22-Sep-2008,,6566.57
3027,28,10636,3380082244,18-Apr-2013,227,6419.12
3028,2,10685,9243903845,10-Apr-2012,228,4911.39
3029,49,10266,6395491032,16-Jul-2012,229,449.28
3030,44,10086,0450400948,06-Mar-2014,230,4504.79
3031,18,10463,4400955540,30-Jun-1970,231,5994.39
3032,24,10904,8286573536,22-Dec-1997,232,7784.15
3033,45,10233,6387997763,12-Aug-2009,,5191.18
3034,4,10633,2495118305,11-Dec-2001,234,2354.35
3035,25,10532,7255900240,16-Feb-1994,,5469.05
3036,20,10617,3627919211,03-Jul-1999,236,6829.73
3037,14,10013,0408790628,30-Sep-2000,237,3185.66
3038,38,10364,1712575503,27-Nov-1972,,2073.26
3039,9,10838,2599421721,25-Jul-2006,239,3032.65
3040,8,10162,9865225328,26-Sep-1982,,4634.17
3041,46,10274,4364606138,18-Feb-2000,241,8773.68
3042,50,10622,2329234988,07-Apr-2010,242,9686.88
3043,19,10899,1315107112,15-Feb-2000,243,4185.47
3044,42,10327,2882604467,06-Jun-2007,244,173.02
3045,20,10908,2695601018,29-Oct-1973,245,6829.73
